,gus,offset,detected
0,0.636,1.0,-1.0
1,0.636,1.0,-1.0
2,0.636,1.0,-1.0
3,0.636,1.0,-1.0
4,0.636,1.0,-1.0
5,0.636,1.0,-1.0
6,0.636,1.0,-1.0
7,0.636,1.0,-1.0
8,0.636,1.0,-1.0
9,0.636,1.0,-1.0
10,0.636,1.0,-1.0
11,0.636,1.0,-1.0
12,0.636,1.0,-1.0
13,0.636,1.0,-1.0
14,0.636,1.0,-1.0
15,0.636,1.0,-1.0
16,0.636,1.0,-1.0
17,0.636,1.0,-1.0
18,0.636,1.0,-1.0
19,0.636,1.0,-1.0
20,0.636,1.0,-1.0
21,0.636,1.0,-1.0
22,0.636,1.0,-1.0
23,0.636,1.0,-1.0
24,0.636,1.0,-1.0
25,0.636,1.0,-1.0
26,-0.765,1.0,-1.0
27,-0.765,1.0,-1.0
28,-0.765,1.0,-1.0
29,-0.765,1.0,-1.0
30,-0.765,1.0,-1.0
31,-0.765,1.0,-1.0
32,-0.765,1.0,-1.0
33,-0.765,1.0,-1.0
34,-0.765,1.0,-1.0
35,-0.765,1.0,-1.0
36,-0.765,1.0,-1.0
37,-0.765,1.0,-1.0
38,0.028,1.0,1.0
39,0.028,1.0,1.0
40,0.028,1.0,1.0
41,0.028,1.0,1.0
42,0.028,1.0,-1.0
43,0.028,1.0,-1.0
44,0.028,1.0,-1.0
45,0.028,1.0,-1.0
46,0.028,1.0,-1.0
47,0.028,1.0,-1.0
48,0.028,1.0,-1.0
49,0.028,1.0,-1.0
50,0.028,1.0,-1.0
51,0.028,1.0,-1.0
52,0.028,1.0,-1.0
53,-0.239,1.0,-1.0
54,-0.239,1.0,-1.0
55,-0.239,1.0,-1.0
56,-0.239,1.0,-1.0
57,-0.239,1.0,-1.0
58,-0.239,1.0,-1.0
59,-0.239,1.0,1.0
60,-0.239,1.0,-1.0
61,-0.239,1.0,-1.0
62,-0.239,1.0,-1.0
63,-0.239,1.0,-1.0
64,-0.239,1.0,-1.0
65,-0.239,1.0,-1.0
66,-0.239,1.0,-1.0
67,-0.239,1.0,-1.0
68,-0.239,1.0,1.0
69,-0.239,1.0,1.0
70,-0.239,1.0,1.0
71,0.486,1.0,-1.0
72,0.486,1.0,-1.0
73,0.486,1.0,-1.0
74,0.486,1.0,-1.0
75,0.486,1.0,-1.0
76,0.486,1.0,-1.0
77,0.486,1.0,-1.0
78,0.486,1.0,-1.0
79,-0.94,1.0,-1.0
80,-0.94,1.0,-1.0
81,-0.94,1.0,-1.0
82,-0.94,1.0,-1.0
83,-0.94,1.0,-1.0
84,-0.94,1.0,-1.0
85,-0.94,1.0,-1.0
86,-0.94,1.0,-1.0
87,-0.94,1.0,-1.0
88,-0.94,1.0,-1.0
89,-0.94,1.0,-1.0
90,-0.94,1.0,-1.0
91,-0.94,1.0,-1.0
92,-0.94,1.0,-1.0
93,-0.94,1.0,-1.0
94,0.451,1.0,-1.0
95,0.451,1.0,-1.0
96,0.451,1.0,-1.0
97,0.451,1.0,-1.0
98,0.451,1.0,-1.0
99,0.451,1.0,-1.0
100,0.451,1.0,-1.0
101,0.451,1.0,-1.0
102,0.354,1.0,-1.0
103,0.354,1.0,-1.0
104,0.354,1.0,-1.0
105,0.354,1.0,1.0
106,0.354,1.0,-1.0
107,0.354,1.0,-1.0
108,0.354,1.0,-1.0
109,0.354,1.0,-1.0
110,0.354,1.0,-1.0
111,0.354,1.0,-1.0
112,0.354,1.0,-1.0
113,0.354,1.0,-1.0
114,0.354,1.0,-1.0
115,0.354,1.0,-1.0
116,0.354,1.0,-1.0
117,-0.375,1.0,-1.0
118,-0.375,1.0,-1.0
119,-0.375,1.0,-1.0
120,-0.375,1.0,-1.0
121,-0.375,1.0,-1.0
122,-0.375,1.0,-1.0
123,-0.375,1.0,-1.0
124,-0.375,1.0,-1.0
125,0.067,1.0,-1.0
126,0.067,1.0,-1.0
127,0.067,1.0,-1.0
128,0.067,1.0,-1.0
129,0.067,1.0,-1.0
130,0.067,1.0,-1.0
131,0.067,1.0,-1.0
132,0.067,1.0,-1.0
133,0.067,1.0,1.0
134,-0.735,1.0,-1.0
135,-0.735,1.0,-1.0
136,-0.735,1.0,-1.0
137,-0.735,1.0,-1.0
138,-0.735,1.0,-1.0
139,-0.735,1.0,-1.0
140,-0.735,1.0,-1.0
141,-0.735,1.0,-1.0
142,-0.585,1.0,-1.0
143,-0.585,1.0,-1.0
144,-0.585,1.0,-1.0
145,-0.585,1.0,-1.0
146,-0.585,1.0,-1.0
147,-0.585,1.0,-1.0
148,-0.585,1.0,-1.0
149,-0.585,1.0,-1.0
150,-0.585,1.0,-1.0
151,-0.585,1.0,-1.0
152,-0.585,1.0,-1.0
153,-0.585,1.0,-1.0
154,-0.585,1.0,-1.0
155,-0.585,1.0,-1.0
156,-0.585,1.0,-1.0
157,-0.585,1.0,-1.0
158,-0.585,1.0,-1.0
159,-0.585,1.0,-1.0
160,-0.585,1.0,-1.0
161,-0.585,1.0,-1.0
162,-0.585,1.0,-1.0
163,-0.585,1.0,-1.0
164,-0.585,1.0,-1.0
165,-0.585,1.0,-1.0
166,-0.585,1.0,-1.0
167,-0.585,1.0,-1.0
168,-0.585,1.0,-1.0
169,-0.585,1.0,-1.0
170,-0.585,1.0,-1.0
171,-0.585,1.0,-1.0
172,-0.585,1.0,-1.0
173,-0.585,1.0,-1.0
174,-0.585,1.0,-1.0
175,-0.585,1.0,-1.0
176,-0.585,1.0,-1.0
177,-1.12,1.0,-1.0
178,-1.12,1.0,-1.0
179,-1.12,1.0,-1.0
180,-1.12,1.0,-1.0
181,-1.12,1.0,-1.0
182,-1.12,1.0,-1.0
183,-1.12,1.0,-1.0
184,-1.12,1.0,-1.0
185,-1.12,1.0,-1.0
186,-1.12,1.0,-1.0
187,-1.12,1.0,-1.0
188,-1.12,1.0,-1.0
189,-1.12,1.0,-1.0
190,-1.12,1.0,-1.0
191,-1.12,1.0,-1.0
192,-1.12,1.0,-1.0
193,-1.12,1.0,-1.0
194,-1.12,1.0,-1.0
195,-1.12,1.0,-1.0
196,-1.12,1.0,-1.0
197,-1.12,1.0,-1.0
198,-1.12,1.0,-1.0
199,-1.12,1.0,-1.0
200,-1.12,1.0,-1.0
201,-1.12,1.0,-1.0
202,-1.12,1.0,-1.0
203,-1.12,1.0,-1.0
204,-1.12,1.0,-1.0
205,-1.12,1.0,-1.0
206,-1.12,1.0,-1.0
207,-1.12,1.0,-1.0
208,-1.12,1.0,-1.0
209,-1.12,1.0,-1.0
210,-1.12,1.0,-1.0
211,0.14,1.0,-1.0
212,0.14,1.0,-1.0
213,0.14,1.0,-1.0
214,0.14,1.0,-1.0
215,0.14,1.0,-1.0
216,0.14,1.0,-1.0
217,0.14,1.0,-1.0
218,0.14,1.0,-1.0
219,-0.161,1.0,-1.0
220,-0.161,1.0,-1.0
221,-0.161,1.0,-1.0
222,-0.161,1.0,-1.0
223,-0.161,1.0,-1.0
224,-0.161,1.0,-1.0
225,-0.161,1.0,-1.0
226,-0.161,1.0,-1.0
227,-0.161,1.0,-1.0
228,-0.161,1.0,-1.0
229,-0.161,1.0,-1.0
230,-0.161,1.0,-1.0
231,-0.161,1.0,-1.0
232,-0.161,1.0,-1.0
233,-0.161,1.0,-1.0
234,-1.013,1.0,-1.0
235,-1.013,1.0,-1.0
236,-1.013,1.0,-1.0
237,-1.013,1.0,-1.0
238,-1.013,1.0,-1.0
239,-1.013,1.0,-1.0
240,-1.013,1.0,-1.0
241,-1.013,1.0,-1.0
242,-1.013,1.0,-1.0
243,-1.013,1.0,-1.0
244,-1.013,1.0,-1.0
245,-1.013,1.0,-1.0
246,-1.013,1.0,-1.0
247,-1.013,1.0,-1.0
248,-1.013,1.0,-1.0
249,-1.013,1.0,-1.0
250,-1.222,1.0,-1.0
251,-1.222,1.0,-1.0
252,-1.222,1.0,-1.0
253,-1.222,1.0,-1.0
254,-1.222,1.0,-1.0
255,-1.222,1.0,-1.0
256,-1.222,1.0,-1.0
257,-1.222,1.0,-1.0
258,-1.222,1.0,-1.0
259,-1.222,1.0,-1.0
260,-1.222,1.0,-1.0
261,-1.222,1.0,-1.0
262,-1.222,1.0,-1.0
263,-1.222,1.0,-1.0
264,-1.222,1.0,-1.0
265,-0.517,1.0,-1.0
266,-0.517,1.0,-1.0
267,-0.517,1.0,-1.0
268,-0.517,1.0,-1.0
269,-0.517,1.0,-1.0
270,-0.517,1.0,-1.0
271,-0.517,1.0,-1.0
272,-0.517,1.0,-1.0
273,-0.517,1.0,-1.0
274,-0.517,1.0,-1.0
275,2.29,1.0,1.0
276,2.29,1.0,1.0
277,2.29,1.0,1.0
278,2.29,1.0,1.0
279,2.29,1.0,1.0
280,2.29,1.0,1.0
281,2.29,1.0,1.0
282,2.29,1.0,1.0
283,2.125,1.0,-1.0
284,2.125,1.0,-1.0
285,2.125,1.0,1.0
286,2.125,1.0,-1.0
287,2.125,1.0,-1.0
288,2.125,1.0,-1.0
289,2.125,1.0,-1.0
290,2.125,1.0,-1.0
291,2.125,1.0,1.0
292,2.125,1.0,-1.0
293,2.125,1.0,-1.0
294,2.125,1.0,-1.0
295,2.125,1.0,1.0
296,2.125,1.0,-1.0
297,2.125,1.0,-1.0
298,2.125,1.0,-1.0
299,2.125,1.0,-1.0
300,2.125,1.0,-1.0
301,2.125,1.0,-1.0
302,2.125,1.0,1.0
303,2.125,1.0,-1.0
304,2.125,1.0,-1.0
305,2.125,1.0,1.0
306,2.125,1.0,1.0
307,2.125,1.0,1.0
308,2.125,1.0,1.0
309,2.125,1.0,1.0
310,2.125,1.0,1.0
311,2.125,1.0,1.0
312,2.125,1.0,1.0
313,2.125,1.0,1.0
314,2.125,1.0,1.0
315,2.125,1.0,1.0
316,2.125,1.0,1.0
317,2.125,1.0,1.0
318,2.125,1.0,1.0
319,2.125,1.0,1.0
320,-0.264,1.0,-1.0
321,-0.264,1.0,-1.0
322,-0.264,1.0,-1.0
323,-0.264,1.0,-1.0
324,-0.264,1.0,-1.0
325,-0.264,1.0,-1.0
326,-0.264,1.0,-1.0
327,-0.264,1.0,-1.0
328,-0.264,1.0,-1.0
329,-0.264,1.0,-1.0
330,-0.264,1.0,-1.0
331,-0.264,1.0,-1.0
332,-0.264,1.0,-1.0
333,-0.264,1.0,-1.0
334,-0.264,1.0,-1.0
335,-0.264,1.0,1.0
336,-0.02,1.0,-1.0
337,-0.02,1.0,-1.0
338,-0.02,1.0,-1.0
339,-0.02,1.0,-1.0
340,-0.02,1.0,-1.0
341,-0.02,1.0,-1.0
342,-0.02,1.0,-1.0
343,-0.02,1.0,-1.0
344,-0.02,1.0,-1.0
345,-0.02,1.0,-1.0
346,-0.02,1.0,-1.0
347,-0.02,1.0,-1.0
348,-0.02,1.0,-1.0
349,-0.02,1.0,1.0
350,-0.02,1.0,-1.0
351,-0.02,1.0,-1.0
352,-0.02,1.0,-1.0
353,-0.453,1.0,1.0
354,-0.453,1.0,-1.0
355,-0.453,1.0,-1.0
356,-0.453,1.0,-1.0
357,-0.453,1.0,-1.0
358,-0.453,1.0,-1.0
359,-0.453,1.0,-1.0
360,-0.453,1.0,-1.0
361,-0.152,1.0,1.0
362,-0.152,1.0,1.0
363,-0.152,1.0,-1.0
364,-0.152,1.0,-1.0
365,-0.152,1.0,-1.0
366,-0.152,1.0,1.0
367,-0.152,1.0,-1.0
368,-0.152,1.0,1.0
369,-0.152,1.0,1.0
370,1.775,1.0,-1.0
371,1.775,1.0,-1.0
372,1.775,1.0,-1.0
373,1.775,1.0,-1.0
374,1.775,1.0,-1.0
375,1.775,1.0,-1.0
376,1.775,1.0,-1.0
377,1.775,1.0,-1.0
378,1.775,1.0,-1.0
379,1.775,1.0,-1.0
380,1.775,1.0,-1.0
381,1.775,1.0,-1.0
382,0.52,1.0,1.0
383,-0.448,1.0,-1.0
384,-0.448,1.0,-1.0
385,-0.448,1.0,-1.0
386,-0.448,1.0,-1.0
387,-0.448,1.0,-1.0
388,-0.448,1.0,-1.0
389,-0.448,1.0,-1.0
390,-0.448,1.0,-1.0
